Ranking per year,Released,Title,Source,"Production
Budget","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
27,"Mar 7, 2014",Mr. Peabody & Sherman,Based on TV,"$145,000,000","$32,207,057","$111,506,430","$124,335,803","$158,300,000","$269,806,430"
28,"Mar 7, 2014",300: Rise of an Empire,Based on Comic/Graphic Novel,"$110,000,000","$45,038,460","$106,580,051","$118,842,619","$224,200,000","$330,780,051"
29,"Sep 19, 2014",The Maze Runner,Based on Fiction Book/Short Story,"$34,000,000","$32,512,804","$102,427,862","$114,201,566","$245,891,999","$348,319,861"
30,"Sep 26, 2014",The Equalizer,Based on TV,"$55,000,000","$34,137,828","$101,530,738","$113,206,645","$91,372,886","$192,903,624"
31,"Mar 28, 2014",Noah,Based on Religious Text,"$130,000,000","$43,720,472","$101,200,044","$112,843,620","$251,631,021","$352,831,065"
32,"Jun 6, 2014",Edge of Tomorrow,Based on Comic/Graphic Novel,"$178,000,000","$28,760,246","$100,206,256","$111,735,489","$270,335,000","$370,541,256"
33,"Feb 28, 2014",Non-Stop,Original Screenplay,"$50,000,000","$28,875,635","$91,742,160","$102,297,557","$130,640,895","$222,383,055"
34,"Nov 28, 2014",The Imitation Game,Based on Factual Book/Article,"$15,000,000","$479,352","$91,125,143","$99,523,634","$136,615,320","$227,740,463"
35,"Nov 14, 2014",Dumb and Dumber To,Original Screenplay,"$40,000,000","$36,111,775","$86,208,010","$96,080,446","$70,345,582","$156,553,592"
36,"Dec 19, 2014",Annie,Remake,"$65,000,000","$15,861,939","$85,911,262","$94,799,853","$53,918,363","$139,829,625"
37,"Oct 17, 2014",Fury,Original Screenplay,"$80,000,000","$23,702,421","$85,817,906","$95,671,963","$124,497,775","$210,315,681"
38,"Jul 2, 2014",Tammy,Original Screenplay,"$20,000,000","$21,577,049","$84,525,432","$94,250,511","$11,882,223","$96,407,655"
39,"Apr 25, 2014",The Other Woman,Original Screenplay,"$40,000,000","$24,763,752","$83,911,193","$93,565,594","$111,200,000","$195,111,193"
40,"Nov 26, 2014",Penguins of Madagascar,Spin-Off,"$132,000,000","$25,447,444","$83,350,911","$92,620,231","$283,591,620","$366,942,531"
41,"Aug 13, 2014",Let’s Be Cops,Original Screenplay,"$17,000,000","$17,813,722","$82,390,774","$91,870,251","$54,500,000","$136,890,774"
42,"Feb 7, 2014",The Monuments Men,Based on Factual Book/Article,"$70,000,000","$22,003,433","$78,031,620","$87,009,546","$80,671,128","$158,702,748"
43,"Jul 25, 2014",Hercules,Based on Folk Tale/Legend/Fairytale,"$100,000,000","$29,800,263","$72,688,614","$81,051,807","$170,700,000","$243,388,614"
44,"Oct 10, 2014","Alexander and the Terrible, Horrible,…",Based on Fiction Book/Short Story,"$28,000,000","$18,360,230","$66,954,149","$74,625,868","$34,425,138","$101,379,287"
45,"Jun 20, 2014",Think Like a Man Too,Based on Factual Book/Article,"$24,000,000","$29,241,911","$65,028,687","$72,510,562","$4,999,246","$70,027,933"
46,"Dec 12, 2014",Exodus: Gods and Kings,Based on Religious Text,"$140,000,000","$24,115,934","$65,014,513","$72,175,360","$203,300,000","$268,314,513"
47,"Jan 17, 2014",The Nut Job,Based on Short Film,"$30,000,000","$19,405,000","$64,251,538","$71,644,001","$58,278,428","$122,529,966"
48,"Feb 28, 2014",Son of God,Based on Religious Text,"$22,000,000","$25,601,865","$59,700,064","$66,568,856","$11,249,729","$70,949,793"
49,"Jul 18, 2014",Planes: Fire and Rescue,Original Screenplay,"$50,000,000","$17,509,407","$59,157,732","$65,964,125","$97,241,912","$156,399,644"
50,"Mar 7, 2014",The Grand Budapest Hotel,Original Screenplay,"$31,000,000","$811,166","$59,076,019","$65,621,781","$104,905,242","$163,981,261"
51,"Feb 12, 2014",RoboCop,Remake,"$120,000,000","$21,681,430","$58,607,007","$65,350,038","$184,374,792","$242,981,799"
52,"Oct 10, 2014",Dracula Untold,Based on Fiction Book/Short Story,"$70,000,000","$23,514,615","$55,991,880","$62,434,028","$164,249,843","$220,241,723"
53,"Nov 26, 2014",Horrible Bosses 2,Original Screenplay,"$40,000,000","$15,457,418","$54,445,357","$60,662,042","$51,500,000","$105,945,357"
54,"Aug 8, 2014",The Hundred-Foot Journey,Based on Fiction Book/Short Story,"$22,000,000","$10,979,290","$54,235,441","$60,475,496","$40,035,047","$94,270,488"
55,"Mar 21, 2014",Muppets Most Wanted,Based on TV,"$55,000,000","$17,005,126","$51,178,893","$57,067,281","$28,133,408","$79,312,301"
56,"Sep 26, 2014",The Boxtrolls,Based on Fiction Book/Short Story,"$60,000,000","$17,275,239","$50,837,305","$56,678,867","$61,108,946","$111,946,251"
57,"Jan 17, 2014",Jack Ryan: Shadow Recruit,Original Screenplay,"$60,000,000","$15,451,981","$50,577,412","$56,396,594","$80,800,000","$131,377,412"
58,"Oct 17, 2014",The Book of Life,Original Screenplay,"$50,000,000","$17,005,218","$50,151,543","$55,893,212","$47,500,000","$97,651,543"
59,"Aug 8, 2014",Into the Storm,Original Screenplay,"$50,000,000","$17,346,427","$47,602,194","$53,079,060","$102,827,177","$150,429,371"
60,"Oct 10, 2014",The Judge,Original Screenplay,"$50,000,000","$13,116,226","$47,119,388","$52,538,773","$29,000,000","$76,119,388"
61,"Jun 20, 2014",Jersey Boys,Based on Real Life Events,"$40,000,000","$13,319,371","$47,047,013","$52,460,008","$18,235,719","$65,282,732"
62,"May 23, 2014",Blended,Original Screenplay,"$45,000,000","$14,284,031","$46,290,741","$51,616,723","$81,700,000","$127,990,741"
63,"Aug 15, 2014",The Giver,Based on Fiction Book/Short Story,"$25,000,000","$12,305,016","$45,090,374","$50,278,245","$21,449,831","$66,540,205"
64,"Mar 14, 2014",Need for Speed,Based on Game,"$66,000,000","$17,844,939","$43,568,507","$48,581,280","$150,601,112","$194,169,619"
65,"Oct 24, 2014",John Wick,Original Screenplay,"$30,000,000","$14,415,922","$43,037,835","$47,985,677","$33,168,404","$76,206,239"
66,"May 30, 2014",A Million Ways to Die in The West,Original Screenplay,"$40,000,000","$16,797,385","$42,720,965","$47,636,226","$44,057,592","$86,778,557"
67,"Oct 17, 2014",Birdman or (The Unexpected Virtue of …,Original Screenplay,"$18,000,000","$424,397","$42,340,598","$46,590,736","$60,874,496","$103,215,094"
68,"Sep 12, 2014",Dolphin Tale 2,Original Screenplay,"$36,000,000","$15,873,397","$42,024,533","$46,859,663","$15,800,000","$57,824,533"
69,"Aug 15, 2014",The Expendables 3,Original Screenplay,"$100,000,000","$15,879,645","$39,322,544","$43,846,794","$170,138,834","$209,461,378"
70,"Jul 18, 2014",Sex Tape,Original Screenplay,"$40,000,000","$14,608,152","$38,543,473","$42,978,092","$87,526,036","$126,069,509"
71,"Dec 3, 2014",Wild,Based on Factual Book/Article,"$15,000,000","$606,810","$37,880,356","$41,614,908","$14,580,187","$52,460,543"
72,"May 16, 2014",Million Dollar Arm,Original Screenplay,"$25,000,000","$10,515,659","$36,447,959","$40,641,477","$2,769,953","$39,217,912"
73,"Nov 7, 2014",The Theory of Everything,Based on Factual Book/Article,"$15,000,000","$208,763","$35,893,537","$39,640,799","$87,434,155","$123,327,692"
74,"Sep 19, 2014",This is Where I Leave You,Based on Fiction Book/Short Story,"$20,000,000","$11,558,149","$34,296,320","$38,242,277","$7,000,000","$41,296,320"
75,"Dec 10, 2014",The Gambler,Remake,"$25,000,000",$0,"$33,680,992","$37,347,238","$5,037,039","$38,718,031"
76,"Feb 21, 2014",3 Days to Kill,Original Screenplay,"$28,000,000","$12,242,218","$30,697,999","$34,229,960","$8,261,901","$38,959,900"
77,"Jul 2, 2014",Deliver Us from Evil,Based on Factual Book/Article,"$30,000,000","$9,740,471","$30,577,122","$34,095,168","$57,379,496","$87,956,618"
78,"Aug 1, 2014",Get on Up,Based on Real Life Events,"$30,000,000","$13,585,915","$30,569,935","$34,087,160","$2,769,933","$33,339,868"
79,"Aug 22, 2014",When the Game Stands Tall,Based on Factual Book/Article,"$15,000,000","$8,381,509","$30,127,963","$33,594,337","$10,949","$30,138,912"
80,"Apr 11, 2014",Draft Day,Original Screenplay,"$25,000,000","$9,783,603","$28,842,237","$32,160,678","$1,005,243","$29,847,480"
81,"Oct 17, 2014",The Best of Me,Based on Fiction Book/Short Story,"$26,000,000","$10,003,827","$26,766,213","$29,844,888","$14,293,205","$41,059,418"
82,"Sep 19, 2014",A Walk Among the Tombstones,Based on Fiction Book/Short Story,"$28,000,000","$12,758,780","$26,017,685","$29,011,150","$36,090,902","$62,108,587"
83,"Jan 10, 2014",Her,Original Screenplay,"$23,000,000","$260,382","$25,568,251","$28,510,000","$22,595,564","$48,163,815"
84,"Aug 27, 2014",The November Man,Based on Fiction Book/Short Story,"$15,000,000","$7,911,597","$25,018,119","$27,896,578","$9,802,216","$34,820,335"
85,"Feb 14, 2014",Endless Love,Based on Fiction Book/Short Story,"$20,000,000","$13,307,125","$23,438,250","$26,134,932","$11,279,923","$34,718,173"
86,"Feb 21, 2014",Pompeii,Original Screenplay,"$80,000,000","$10,340,823","$23,169,033","$25,834,739","$85,300,000","$108,469,033"
87,"Apr 18, 2014",Transcendence,Original Screenplay,"$100,000,000","$10,886,386","$23,022,309","$25,671,142","$80,016,949","$103,039,258"
88,"Apr 25, 2014",Brick Mansions,Original Screenplay,"$28,000,000","$9,516,855","$20,396,829","$22,743,580","$53,024,395","$73,421,224"
89,"Jan 24, 2014","I, Frankenstein",Based on Comic/Graphic Novel,"$65,000,000","$8,610,441","$19,075,290","$21,269,992","$55,500,000","$74,575,290"
90,"Jan 10, 2014",The Legend of Hercules,Based on Folk Tale/Legend/Fairytale,"$70,000,000","$8,868,318","$18,848,538","$21,017,153","$40,104,781","$58,953,319"
91,"Jul 25, 2014",A Most Wanted Man,Based on Fiction Book/Short Story,"$15,000,000","$2,686,526","$17,237,855","$19,221,153","$18,831,035","$36,068,890"
92,"Jul 25, 2014",And So It Goes,Original Screenplay,"$18,000,000","$4,642,329","$15,160,801","$16,905,126","$2,759,212","$17,920,013"
93,"Oct 3, 2014",Left Behind,Based on Fiction Book/Short Story,"$16,000,000","$6,300,146","$14,019,924","$15,632,979","$6,749,285","$20,769,209"
94,"Aug 22, 2014",Sin City: A Dame to Kill For,Based on Comic/Graphic Novel,"$65,000,000","$6,317,683","$13,757,804","$15,340,703","$26,893,038","$40,650,842"
95,"Jan 31, 2014",Labor Day,Based on Fiction Book/Short Story,"$18,000,000","$5,175,282","$13,371,528","$14,909,982","$818,282","$14,189,810"
96,"Feb 14, 2014",Winter’s Tale,Based on Fiction Book/Short Story,"$60,000,000","$7,297,694","$12,600,231","$14,049,943","$16,974,802","$29,575,033"
97,"Nov 14, 2014",Foxcatcher,Based on Real Life Events,"$24,000,000","$270,877","$12,096,300","$13,345,184","$7,206,758","$19,303,058"
98,"Mar 28, 2014",Sabotage,Original Screenplay,"$35,000,000","$5,272,444","$10,508,518","$11,717,574","$7,867,925","$18,376,443"
99,"May 9, 2014",Legends of Oz: Dorothy’s Return,Based on Fiction Book/Short Story,"$70,000,000","$3,747,780","$8,462,347","$9,435,974","$11,645,586","$20,107,933"
100,"Dec 12, 2014",Inherent Vice,Based on Fiction Book/Short Story,"$20,000,000","$328,184","$8,110,975","$8,815,547","$6,661,371","$14,772,346"
1,"Dec 18, 2015",Star Wars Ep. VII: The Force Awakens,Original Screenplay,"$306,000,000","$247,966,675","$936,662,225","$1,006,872,847","$1,131,561,399","$2,068,223,624"
2,"Jun 12, 2015",Jurassic World,Based on Fiction Book/Short Story,"$215,000,000","$208,806,270","$652,270,625","$704,885,576","$996,584,239","$1,648,854,864"
3,"May 1, 2015",Avengers: Age of Ultron,Based on Comic/Graphic Novel,"$365,000,000","$191,271,109","$459,005,868","$496,031,246","$944,008,095","$1,403,013,963"
4,"Jun 19, 2015",Inside Out,Original Screenplay,"$175,000,000","$90,440,272","$356,461,711","$385,215,439","$501,100,000","$857,561,711"
5,"Apr 3, 2015",Furious 7,Original Screenplay,"$190,000,000","$147,163,560","$353,007,020","$381,482,079","$1,165,715,774","$1,518,722,794"
6,"Jul 10, 2015",Minions,Spin-Off,"$74,000,000","$115,718,405","$336,045,770","$363,152,668","$824,290,403","$1,160,336,173"
7,"Nov 20, 2015",The Hunger Games: Mockingjay - Part 2,Based on Fiction Book/Short Story,"$160,000,000","$102,665,981","$281,723,902","$304,241,751","$367,262,885","$648,986,787"
8,"Oct 2, 2015",The Martian,Based on Fiction Book/Short Story,"$108,000,000","$54,308,575","$228,433,663","$246,775,224","$426,837,780","$655,271,443"
9,"Mar 13, 2015",Cinderella,Based on Folk Tale/Legend/Fairytale,"$95,000,000","$67,877,361","$201,151,353","$217,377,081","$333,400,000","$534,551,353"
10,"Nov 6, 2015",Spectre,Based on Fiction Book/Short Story,"$300,000,000","$70,403,148","$200,074,175","$216,131,343","$679,546,748","$879,620,923"
11,"Jul 31, 2015",Mission: Impossible—Rogue Nation,Based on TV,"$150,000,000","$55,520,089","$195,042,377","$210,775,328","$493,816,615","$688,858,992"
12,"May 15, 2015",Pitch Perfect 2,Based on Factual Book/Article,"$29,000,000","$69,216,890","$184,296,230","$199,162,355","$103,329,238","$287,625,468"
13,"Dec 25, 2015",The Revenant,Based on Fiction Book/Short Story,"$135,000,000","$474,560","$183,637,894","$193,427,592","$349,300,408","$532,938,302"
14,"Jul 17, 2015",Ant-Man,Based on Comic/Graphic Novel,"$130,000,000","$57,225,526","$180,202,163","$194,738,038","$338,656,286","$518,858,449"
15,"Mar 27, 2015",Home,Based on Fiction Book/Short Story,"$130,000,000","$52,107,731","$177,397,510","$191,707,150","$208,600,386","$385,997,896"
16,"Sep 25, 2015",Hotel Transylvania 2,Original Screenplay,"$80,000,000","$48,464,322","$169,700,110","$183,355,066","$299,800,188","$469,500,298"
17,"Feb 13, 2015",Fifty Shades of Grey,Based on Fiction Book/Short Story,"$40,000,000","$85,171,450","$166,167,230","$179,570,991","$404,830,871","$570,998,101"
18,"Feb 6, 2015",The SpongeBob Movie: Sponge Out of Water,Based on TV,"$74,000,000","$55,365,012","$162,994,032","$176,141,823","$148,019,149","$311,013,181"
19,"Aug 14, 2015",Straight Outta Compton,Based on Real Life Events,"$28,000,000","$60,200,180","$161,197,785","$174,200,691","$40,985,196","$202,182,981"
20,"May 29, 2015",San Andreas,Original Screenplay,"$110,000,000","$54,588,173","$155,190,832","$167,709,188","$301,067,707","$456,258,539"
21,"May 15, 2015",Mad Max: Fury Road,Original Screenplay,"$150,000,000","$45,428,128","$153,636,354","$165,573,293","$216,461,666","$370,098,020"
22,"Dec 25, 2015",Daddy’s Home,Original Screenplay,"$50,000,000","$38,740,203","$150,357,137","$160,933,570","$92,400,000","$242,757,137"
23,"Mar 20, 2015",The Divergent Series: Insurgent,Based on Fiction Book/Short Story,"$110,000,000","$52,263,680","$130,179,072","$140,679,872","$164,896,810","$295,075,882"
24,"Nov 6, 2015",The Peanuts Movie,Based on Comic/Graphic Novel,"$99,000,000","$44,213,073","$130,178,411","$140,625,759","$119,913,199","$250,091,610"
25,"Feb 13, 2015",Kingsman: The Secret Service,Based on Comic/Graphic Novel,"$94,000,000","$36,206,331","$128,261,724","$138,607,867","$276,300,000","$404,561,724"
26,"Nov 25, 2015",The Good Dinosaur,Original Screenplay,"$187,500,000","$39,155,217","$123,087,120","$132,787,169","$210,683,917","$333,771,037"
27,"Jun 5, 2015",Spy!,Original Screenplay,"$65,000,000","$29,085,719","$110,825,712","$119,765,389","$121,760,036","$232,585,748"
28,"Jul 17, 2015",Trainwreck,Original Screenplay,"$35,000,000","$30,097,040","$110,212,700","$119,102,928","$30,911,197","$141,123,897"
29,"Nov 25, 2015",Creed,Original Screenplay,"$37,000,000","$29,632,823","$109,767,581","$118,336,541","$63,800,000","$173,567,581"
30,"May 22, 2015",Tomorrowland,Original Screenplay,"$170,000,000","$33,028,165","$93,436,322","$100,973,290","$113,191,196","$206,627,518"
31,"Mar 27, 2015",Get Hard,Original Screenplay,"$40,000,000","$33,803,253","$90,411,453","$97,704,422","$16,100,000","$106,511,453"
32,"Jul 1, 2015",Terminator: Genisys,Original Screenplay,"$155,000,000","$27,018,486","$89,760,956","$97,001,458","$342,389,938","$432,150,894"
33,"Jan 9, 2015",Taken 3,Original Screenplay,"$48,000,000","$39,201,657","$89,256,424","$96,456,234","$238,400,000","$327,656,424"
34,"Dec 18, 2015",Sisters,Original Screenplay,"$30,000,000","$13,922,855","$87,044,645","$93,023,768","$18,986,015","$106,030,660"
35,"Dec 18, 2015",Alvin and the Chipmunks: The Road Chip,Based on TV,"$90,000,000","$14,287,159","$85,886,987","$91,981,875","$163,630,969","$249,517,956"
36,"Sep 18, 2015",Maze Runner: The Scorch Trials,Based on Fiction Book/Short Story,"$61,000,000","$30,316,510","$81,697,192","$88,285,402","$228,868,970","$310,566,162"
37,"Jun 26, 2015",Ted 2,Original Screenplay,"$68,000,000","$33,507,870","$81,476,385","$88,048,624","$135,737,758","$217,214,143"
38,"Oct 16, 2015",Goosebumps,Based on Fiction Book/Short Story,"$58,000,000","$23,618,556","$80,069,458","$86,502,456","$78,835,866","$158,905,324"
39,"Jul 24, 2015",Pixels,Based on Short Film,"$90,000,000","$24,011,616","$78,765,986","$85,119,586","$165,275,818","$244,041,804"
40,"Jan 16, 2015",Paddington,Based on Fiction Book/Short Story,"$55,000,000","$18,966,676","$76,223,578","$82,372,092","$182,565,519","$258,789,097"
41,"Sep 25, 2015",The Intern,Original Screenplay,"$40,000,000","$17,728,313","$75,764,672","$81,870,960","$121,351,038","$197,115,710"
42,"Oct 16, 2015",Bridge of Spies,Original Screenplay,"$40,000,000","$15,371,203","$72,313,754","$78,100,066","$90,184,584","$162,498,338"
43,"Apr 17, 2015",Paul Blart: Mall Cop 2,Original Screenplay,"$38,000,000","$23,762,435","$71,091,594","$76,826,151","$36,559,052","$107,650,646"
44,"Dec 11, 2015",The Big Short,Based on Factual Book/Article,"$28,000,000","$705,527","$70,259,870","$74,904,761","$62,902,882","$133,162,752"
45,"Jan 16, 2015",The Wedding Ringer,Original Screenplay,"$23,000,000","$20,649,306","$64,460,211","$69,659,852","$15,711,385","$80,171,596"
46,"Sep 18, 2015",Black Mass,Based on Factual Book/Article,"$53,000,000","$22,635,037","$62,575,678","$67,623,293","$36,262,194","$98,837,872"
47,"Jul 29, 2015",Vacation,Original Screenplay,"$31,000,000","$14,681,108","$58,884,188","$63,634,033","$43,422,312","$102,306,500"
48,"Sep 11, 2015",The Perfect Guy,Original Screenplay,"$18,000,000","$25,888,154","$57,027,435","$61,627,510","$3,250,731","$60,278,166"
49,"Dec 25, 2015",Joy,Based on Real Life Events,"$60,000,000","$17,015,168","$56,451,232","$60,231,366","$44,682,827","$101,134,059"
50,"Aug 7, 2015",Fantastic Four,Based on Comic/Graphic Novel,"$120,000,000","$25,685,737","$56,117,548","$60,644,231","$111,731,639","$167,849,187"
51,"Dec 25, 2015",The Hateful Eight,Original Screenplay,"$62,000,000","$4,610,676","$54,117,416","$57,793,658","$93,807,179","$147,924,595"
52,"Feb 27, 2015",Focus,Original Screenplay,"$65,000,000","$18,685,137","$53,862,963","$58,207,780","$114,202,737","$168,065,700"
53,"Jul 24, 2015",Southpaw,Original Screenplay,"$30,000,000","$16,701,294","$52,421,953","$56,650,526","$41,734,503","$94,156,456"
54,"Jan 9, 2015",Selma,Based on Real Life Events,"$20,000,000","$571,450","$52,076,908","$56,277,654","$14,699,668","$66,776,576"
55,"Feb 6, 2015",Jupiter Ascending,Original Screenplay,"$179,000,000","$18,372,372","$47,482,519","$51,312,658","$134,500,000","$181,982,519"
56,"May 22, 2015",Poltergeist,Remake,"$35,000,000","$22,620,386","$47,425,125","$51,250,637","$48,287,944","$95,713,069"
57,"Sep 18, 2015",Sicario,Original Screenplay,"$30,000,000","$401,288","$46,889,293","$50,669,784","$37,504,456","$84,393,749"
58,"Aug 14, 2015",The Man From U.N.C.L.E.,Based on TV,"$75,000,000","$13,421,036","$45,445,109","$49,110,899","$63,072,626","$108,517,735"
59,"Nov 6, 2015",Spotlight,Based on Real Life Events,"$20,000,000","$295,009","$45,055,776","$48,196,892","$47,032,684","$92,088,460"
60,"Feb 20, 2015","McFarland, USA",Based on Real Life Events,"$17,000,000","$11,020,798","$44,480,275","$48,068,241","$1,227,649","$45,707,924"
61,"Sep 18, 2015",Everest,Based on Real Life Events,"$65,000,000","$7,222,035","$43,482,270","$46,989,735","$177,814,791","$221,297,061"
62,"Nov 20, 2015",The Night Before,Original Screenplay,"$25,000,000","$9,880,536","$43,035,725","$46,503,015","$9,391,621","$52,427,346"
63,"Dec 4, 2015",Krampus,Original Screenplay,"$15,000,000","$16,293,325","$42,725,475","$46,137,267","$19,062,918","$61,788,393"
64,"Jun 26, 2015",Max,Original Screenplay,"$20,000,000","$12,155,254","$42,656,255","$46,097,083","$1,001,902","$43,658,157"
65,"Apr 24, 2015",The Age of Adaline,Original Screenplay,"$30,000,000","$13,203,458","$42,629,776","$46,068,468","$26,354,760","$68,984,536"
66,"Apr 10, 2015",The Longest Ride,Based on Fiction Book/Short Story,"$34,000,000","$13,019,686","$37,446,117","$40,466,684","$26,356,811","$63,802,928"
67,"Oct 9, 2015",Pan,Based on Fiction Book/Short Story,"$150,000,000","$15,315,435","$35,088,320","$37,917,842","$116,437,653","$151,525,973"
68,"May 8, 2015",Hot Pursuit,Original Screenplay,"$35,000,000","$13,942,258","$34,580,201","$37,369,584","$11,091,311","$45,671,512"
69,"Dec 25, 2015",Concussion,Based on Factual Book/Article,"$35,000,000","$10,513,749","$34,531,832","$36,846,998","$15,831,958","$50,363,790"
70,"Jun 3, 2015",Entourage,Based on TV,"$30,000,000","$10,283,250","$32,363,404","$34,973,973","$14,075,134","$46,438,538"
71,"Mar 6, 2015",Chappie,Original Screenplay,"$49,000,000","$13,346,782","$31,569,268","$34,115,784","$73,432,788","$105,002,056"
72,"Oct 16, 2015",Crimson Peak,Original Screenplay,"$55,000,000","$13,143,310","$31,090,320","$33,598,199","$43,876,534","$74,966,854"
73,"Dec 25, 2015",Point Break,Remake,"$100,000,000","$9,800,252","$28,782,481","$30,741,449","$97,922,110","$126,704,591"
74,"Oct 23, 2015",The Last Witch Hunter,Original Screenplay,"$80,000,000","$10,812,861","$27,367,660","$29,575,251","$103,451,252","$130,818,912"
75,"Aug 7, 2015",Ricki and the Flash,Original Screenplay,"$18,000,000","$6,618,610","$26,839,498","$29,004,491","$14,326,535","$41,166,033"
76,"Mar 13, 2015",Run All Night,Original Screenplay,"$50,000,000","$11,012,305","$26,461,644","$28,596,153","$40,500,000","$66,961,644"
77,"Nov 13, 2015",Love the Coopers,Original Screenplay,"$18,000,000","$8,317,545","$26,302,731","$28,421,424","$15,924,759","$42,227,490"
78,"Dec 11, 2015",In the Heart of the Sea,Based on Real Life Events,"$100,000,000","$11,053,366","$25,020,758","$26,985,241","$64,672,551","$89,693,309"
79,"Aug 21, 2015",Hitman: Agent 47,Based on Game,"$35,000,000","$8,326,530","$22,467,450","$24,279,772","$59,715,353","$82,182,803"
80,"May 29, 2015",Aloha,Original Screenplay,"$37,000,000","$9,670,235","$21,052,030","$22,750,175","$4,335,061","$25,387,091"
81,"Nov 20, 2015",Secret in Their Eyes,Remake,"$20,000,000","$6,652,996","$20,180,155","$21,806,288","$12,427,864","$32,608,019"
82,"Aug 5, 2015",Shaun the Sheep,Spin-Off,"$25,000,000","$4,038,962","$19,375,982","$20,938,925","$82,475,004","$101,850,986"
83,"Oct 9, 2015",Steve Jobs,Based on Factual Book/Article,"$30,000,000","$521,522","$17,766,658","$19,199,790","$17,812,349","$35,579,007"
84,"Feb 6, 2015",Seventh Son,Based on Fiction Book/Short Story,"$95,000,000","$7,217,640","$17,725,785","$19,155,624","$91,149,182","$108,874,967"
85,"Sep 4, 2015",The Transporter Refueled,Original Screenplay,"$22,000,000","$7,355,622","$16,029,670","$17,322,683","$53,668,825","$69,698,495"
86,"Aug 21, 2015",American Ultra,Original Screenplay,"$28,000,000","$5,454,284","$14,439,985","$15,604,774","$15,855,043","$30,295,028"
87,"Oct 30, 2015",Burnt,Original Screenplay,"$20,000,000","$5,002,341","$13,651,946","$14,751,650","$23,114,347","$36,766,293"
88,"Jul 10, 2015",Self/Less,Original Screenplay,"$26,000,000","$5,403,460","$12,279,691","$13,270,218","$21,387,628","$33,667,319"
89,"Nov 13, 2015",The 33,Based on Factual Book/Article,"$25,000,000","$5,787,266","$12,227,722","$13,209,154","$16,059,767","$28,287,489"
90,"Mar 20, 2015",The Gunman,Based on Fiction Book/Short Story,"$40,000,000","$5,028,702","$10,664,749","$11,525,006","$7,929,478","$18,594,227"
91,"Mar 6, 2015",Unfinished Business,Original Screenplay,"$35,000,000","$4,772,613","$10,219,501","$11,043,853","$2,994,550","$13,214,051"
92,"Sep 30, 2015",The Walk,Based on Real Life Events,"$35,000,000","$1,560,299","$10,161,183","$10,980,830","$51,330,921","$61,492,104"
93,"Jan 16, 2015",Blackhat,Original Screenplay,"$70,000,000","$3,901,815","$8,005,980","$8,651,776","$11,659,024","$19,665,004"
94,"Nov 6, 2015",Trumbo,Based on Real Life Events,"$15,000,000","$74,177","$7,857,741","$8,468,419","$5,442,440","$13,300,181"
95,"Jan 23, 2015",Mortdecai,Based on Fiction Book/Short Story,"$60,000,000","$4,200,586","$7,696,134","$8,316,929","$22,700,000","$30,396,134"
96,"Oct 30, 2015",Our Brand is Crisis,Based on Movie,"$28,000,000","$3,249,242","$7,002,261","$7,567,085","$1,592,297","$8,594,558"
97,"Jul 10, 2015",Baahubali: The Beginning,Original Screenplay,"$40,000,000","$3,215,000","$6,738,000","$7,281,514","$19,998,665","$26,736,665"
98,"Apr 24, 2015",Little Boy,Original Screenplay,"$20,000,000","$2,750,356","$6,485,961","$7,009,143","$11,283,338","$17,769,299"
99,"Nov 25, 2015",Victor Frankenstein,Based on Fiction Book/Short Story,"$40,000,000","$2,469,341","$5,775,076","$6,240,915","$25,349,291","$31,124,367"
100,"Apr 24, 2015",The Water Diviner,Original Screenplay,"$22,500,000","$1,220,335","$4,200,117","$4,538,912","$26,854,610","$31,054,727"
1,"Dec 16, 2016",Rogue One: A Star Wars Story,Spin-Off,"$200,000,000","$155,081,681","$532,177,324","$556,450,789","$523,879,949","$1,056,057,273"
2,"Jun 17, 2016",Finding Dory,Original Screenplay,"$200,000,000","$135,060,273","$486,295,561","$512,156,365","$542,275,328","$1,028,570,889"
3,"May 6, 2016",Captain America: Civil War,Based on Comic/Graphic Novel,"$250,000,000","$179,139,142","$408,084,349","$429,785,941","$745,200,000","$1,153,284,349"
4,"Jul 8, 2016",The Secret Life of Pets,Original Screenplay,"$75,000,000","$104,352,905","$368,384,330","$387,974,703","$518,222,082","$886,606,412"
5,"Apr 15, 2016",The Jungle Book,Based on Fiction Book/Short Story,"$175,000,000","$103,261,464","$364,001,123","$383,358,402","$598,853,424","$962,854,547"
6,"Feb 12, 2016",Deadpool,Based on Comic/Graphic Novel,"$58,000,000","$132,434,639","$363,070,709","$382,378,512","$437,954,884","$801,025,593"
7,"Mar 4, 2016",Zootopia,Original Screenplay,"$150,000,000","$75,063,401","$341,268,248","$359,416,611","$695,100,000","$1,036,368,248"
8,"Mar 25, 2016",Batman v Superman: Dawn of Justice,Based on Comic/Graphic Novel,"$263,000,000","$166,007,347","$330,360,194","$347,928,482","$543,274,725","$873,634,919"
9,"Aug 5, 2016",Suicide Squad,Based on Comic/Graphic Novel,"$175,000,000","$133,682,248","$325,100,054","$342,388,609","$420,959,833","$746,059,887"
10,"Dec 21, 2016",Sing,Original Screenplay,"$75,000,000","$35,258,145","$270,329,045","$280,803,807","$364,125,744","$634,454,789"
